,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2014 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,7336  ,3772  ,3564  ,5209  ,2686  ,2523  ,2127  ,1086  ,1041  ,,,,,
,1,7528  ,3838  ,3690  ,5252  ,2655  ,2597  ,2276  ,1183  ,1093  ,,,,,
,2,7069  ,3664  ,3405  ,5071  ,2626  ,2445  ,1998  ,1038  ,960  ,,,,,
,0-2,21933  ,11274  ,10659  ,15532  ,7967  ,7565  ,6401  ,3307  ,3094  ,,,,,
,3,6877  ,3553  ,3324  ,4990  ,2571  ,2419  ,1887  ,982  ,905  ,,,,,
,4,6847  ,3593  ,3254  ,4997  ,2640  ,2357  ,1850  ,953  ,897  ,,,,,
,0-4,35657  ,18420  ,17237  ,25519  ,13178  ,12341  ,10138  ,5242  ,4896  ,,,,,
,5,6782  ,3525  ,3257  ,4891  ,2550  ,2341  ,1891  ,975  ,916  ,,,,,
,3-5,20506  ,10671  ,9835  ,14878  ,7761  ,7117  ,5628  ,2910  ,2718  ,,,,,
,6,6759  ,3493  ,3266  ,4810  ,2524  ,2286  ,1949  ,969  ,980  ,,,,,
,1-6,41862  ,21666  ,20196  ,30011  ,15566  ,14445  ,11851  ,6100  ,5751  ,,,,,
,7,6200  ,3218  ,2982  ,4400  ,2275  ,2125  ,1800  ,943  ,857  ,,,,,
,8,5978  ,3148  ,2830  ,4306  ,2264  ,2042  ,1672  ,884  ,788  ,,,,,
,9,6078  ,3091  ,2987  ,4408  ,2247  ,2161  ,1670  ,844  ,826  ,,,,,
,5-9,31797  ,16475  ,15322  ,22815  ,11860  ,10955  ,8982  ,4615  ,4367  ,,,,,
,10,6042  ,3139  ,2903  ,4337  ,2266  ,2071  ,1705  ,873  ,832  ,,,,,
,11,5884  ,3030  ,2854  ,4265  ,2228  ,2037  ,1619  ,802  ,817  ,,,,,
,12,5380  ,2750  ,2630  ,3822  ,1924  ,1898  ,1558  ,826  ,732  ,,,,, 
,13,5142  ,2694  ,2448  ,3614  ,1873  ,1741  ,1528  ,821  ,707  ,,,,,
,8-13,34504  ,17852  ,16652  ,24752  ,12802  ,11950  ,9752  ,5050  ,4702  ,,,,,
,0-13,89902  ,46508  ,43394  ,64372  ,33329  ,31043  ,25530  ,13179  ,12351  ,,,,,
,14,4984  ,2548  ,2436  ,3488  ,1796  ,1692  ,1496  ,752  ,744  ,,,,,
,10-14,27432  ,14161  ,13271  ,19526  ,10087  ,9439  ,7906  ,4074  ,3832  ,,,,,
,0-14,94886  ,49056  ,45830  ,67860  ,35125  ,32735  ,27026  ,13931  ,13095  ,,,,,
,15,5523  ,2951  ,2572  ,3884  ,2084  ,1800  ,1639  ,867  ,772  ,,,,,
,14-15,10507  ,5499  ,5008  ,7372  ,3880  ,3492  ,3135  ,1619  ,1516  ,,,,,
,16,5258  ,2577  ,2681  ,3859  ,1898  ,1961  ,1399  ,679  ,720  ,,,,,
,17,5300  ,2812  ,2488  ,3927  ,2086  ,1841  ,1373  ,726  ,647  ,,,,,
,16-17,10558  ,5389  ,5169  ,7786  ,3984  ,3802  ,2772  ,1405  ,1367  ,,,,,
,0-17,110967  ,57396  ,53571  ,79530  ,41193  ,38337  ,31437  ,16203  ,15234  ,,,,,
,18,5318  ,2685  ,2633  ,3955  ,1929  ,2026  ,1363  ,756  ,607  ,,,,,
,19,5594  ,2783  ,2811  ,4279  ,2097  ,2182  ,1315  ,686  ,629  ,,,,,
,15-19,26993  ,13808  ,13185  ,19904  ,10094  ,9810  ,7089  ,3714  ,3375  ,,,,,
,20,5412  ,2709  ,2703  ,4052  ,1945  ,2107  ,1360  ,764  ,596  ,,,,,
,21,6428  ,3162  ,3266  ,5035  ,2413  ,2622  ,1393  ,749  ,644  ,,,,,
,22,7189  ,3518  ,3671  ,5381  ,2552  ,2829  ,1808  ,966  ,842  ,,,,,
,23,8521  ,4349  ,4172  ,6287  ,3107  ,3180  ,2234  ,1242  ,992  ,,,,,
,24,9309  ,4701  ,4608  ,6798  ,3320  ,3478  ,2511  ,1381  ,1130  ,,,,,
,20-24,36859  ,18439  ,18420  ,27553  ,13337  ,14216  ,9306  ,5102  ,4204  ,,,,,
,25,9930  ,5209  ,4721  ,7250  ,3709  ,3541  ,2680  ,1500  ,1180  ,,,,,
,26,10792  ,5572  ,5220  ,7941  ,4024  ,3917  ,2851  ,1548  ,1303  ,,,,,
,27,10233  ,5351  ,4882  ,7502  ,3833  ,3669  ,2731  ,1518  ,1213  ,,,,,
,28,9809  ,5051  ,4758  ,7229  ,3642  ,3587  ,2580  ,1409  ,1171  ,,,,,
,29,9673  ,5042  ,4631  ,7187  ,3708  ,3479  ,2486  ,1334  ,1152  ,,,,,
,25-29,50437  ,26225  ,24212  ,37109  ,18916  ,18193  ,13328  ,7309  ,6019  ,,,,,
,20-29,87296  ,44664  ,42632  ,64662  ,32253  ,32409  ,22634  ,12411  ,10223  ,,,,,
,16-29,108766  ,55521  ,53245  ,80682  ,40263  ,40419  ,28084  ,15258  ,12826  ,,,,,
,30,10017  ,5111  ,4906  ,7455  ,3722  ,3733  ,2562  ,1389  ,1173  ,,,,,
,31,9933  ,5104  ,4829  ,7441  ,3759  ,3682  ,2492  ,1345  ,1147  ,,,,,
,32,8934  ,4531  ,4403  ,6721  ,3410  ,3311  ,2213  ,1121  ,1092  ,,,,,
,33,9384  ,4713  ,4671  ,7017  ,3514  ,3503  ,2367  ,1199  ,1168  ,,,,,
,34,8846  ,4455  ,4391  ,6715  ,3343  ,3372  ,2131  ,1112  ,1019  ,,,,,
,30-34,47114  ,23914  ,23200  ,35349  ,17748  ,17601  ,11765  ,6166  ,5599  ,,,,,
,15-34,161403  ,82386  ,79017  ,119915  ,60095  ,59820  ,41488  ,22291  ,19197  ,,,,,
,35,8878  ,4319  ,4559  ,6542  ,3152  ,3390  ,2336  ,1167  ,1169  ,,,,,
,36,8526  ,4184  ,4342  ,6409  ,3047  ,3362  ,2117  ,1137  ,980  ,,,,,
,37,8837  ,4403  ,4434  ,6589  ,3280  ,3309  ,2248  ,1123  ,1125  ,,,,,
,38,8759  ,4285  ,4474  ,6581  ,3213  ,3368  ,2178  ,1072  ,1106  ,,,,,
,39,8425  ,4128  ,4297  ,6331  ,3018  ,3313  ,2094  ,1110  ,984  ,,,,,
,35-39,43425  ,21319  ,22106  ,32452  ,15710  ,16742  ,10973  ,5609  ,5364  ,,,,,
,20-39,177835  ,89897  ,87938  ,132463  ,65711  ,66752  ,45372  ,24186  ,21186  ,,,,,
,40,8057  ,3919  ,4138  ,6009  ,2876  ,3133  ,2048  ,1043  ,1005  ,,,,,
,41,8151  ,4011  ,4140  ,6006  ,2881  ,3125  ,2145  ,1130  ,1015  ,,,,,
,42,7982  ,3887  ,4095  ,5962  ,2844  ,3118  ,2020  ,1043  ,977  ,,,,,
,43,7965  ,3735  ,4230  ,5904  ,2739  ,3165  ,2061  ,996  ,1065  ,,,,,
,44,7270  ,3378  ,3892  ,5201  ,2363  ,2838  ,2069  ,1015  ,1054  ,,,,,
,40-44,39425  ,18930  ,20495  ,29082  ,13703  ,15379  ,10343  ,5227  ,5116  ,,,,,
,45,7258  ,3406  ,3852  ,5150  ,2390  ,2760  ,2108  ,1016  ,1092  ,,,,,
,46,7471  ,3442  ,4029  ,5314  ,2399  ,2915  ,2157  ,1043  ,1114  ,,,,,
,47,7846  ,3582  ,4264  ,5483  ,2472  ,3011  ,2363  ,1110  ,1253  ,,,,,
,48,8306  ,3714  ,4592  ,5703  ,2457  ,3246  ,2603  ,1257  ,1346  ,,,,,
,49,8423  ,3870  ,4553  ,5776  ,2580  ,3196  ,2647  ,1290  ,1357  ,,,,,
,45-49,39304  ,18014  ,21290  ,27426  ,12298  ,15128  ,11878  ,5716  ,6162  ,,,,,
,15-49,283557  ,140649  ,142908  ,208875  ,101806  ,107069  ,74682  ,38843  ,35839  ,,,,,
,50,8823  ,3984  ,4839  ,6020  ,2617  ,3403  ,2803  ,1367  ,1436  ,,,,,
,51,9731  ,4308  ,5423  ,6551  ,2803  ,3748  ,3180  ,1505  ,1675  ,,,,,
,52,10353  ,4662  ,5691  ,7035  ,2996  ,4039  ,3318  ,1666  ,1652  ,,,,,
,53,10572  ,4740  ,5832  ,7143  ,3065  ,4078  ,3429  ,1675  ,1754  ,,,,,
,54,10364  ,4609  ,5755  ,6973  ,2907  ,4066  ,3391  ,1702  ,1689  ,,,,,
,50-54,49843  ,22303  ,27540  ,33722  ,14388  ,19334  ,16121  ,7915  ,8206  ,,,,,
,55,10848  ,4768  ,6080  ,7338  ,3022  ,4316  ,3510  ,1746  ,1764  ,,,,,
,56,10635  ,4546  ,6089  ,7197  ,2888  ,4309  ,3438  ,1658  ,1780  ,,,,,
,57,10343  ,4357  ,5986  ,7089  ,2874  ,4215  ,3254  ,1483  ,1771  ,,,,,
,58,10170  ,4290  ,5880  ,7018  ,2803  ,4215  ,3152  ,1487  ,1665  ,,,,,
,59,10097  ,4095  ,6002  ,6926  ,2754  ,4172  ,3171  ,1341  ,1830  ,,,,,
,55-59,52093  ,22056  ,30037  ,35568  ,14341  ,21227  ,16525  ,7715  ,8810  ,,,,,
,60,9197  ,3722  ,5475  ,6420  ,2448  ,3972  ,2777  ,1274  ,1503  ,,,,,
,61,8980  ,3623  ,5357  ,6156  ,2368  ,3788  ,2824  ,1255  ,1569  ,,,,,
,62,8792  ,3491  ,5301  ,6030  ,2288  ,3742  ,2762  ,1203  ,1559  ,,,,,
,63,8689  ,3447  ,5242  ,5907  ,2211  ,3696  ,2782  ,1236  ,1546  ,,,,,
,64,9033  ,3520  ,5513  ,6191  ,2298  ,3893  ,2842  ,1222  ,1620  ,,,,,
,60-64,44691  ,17803  ,26888  ,30704  ,11613  ,19091  ,13987  ,6190  ,7797  ,,,,,
,65,6930  ,2581  ,4349  ,4820  ,1691  ,3129  ,2110  ,890  ,1220  ,,,,,
,66,6662  ,2527  ,4135  ,4646  ,1687  ,2959  ,2016  ,840  ,1176  ,,,,,
,67,5788  ,2069  ,3719  ,3978  ,1317  ,2661  ,1810  ,752  ,1058  ,,,,,
,68,3648  ,1392  ,2256  ,2483  ,932  ,1551  ,1165  ,460  ,705  ,,,,,
,69,2798  ,965  ,1833  ,1867  ,596  ,1271  ,931  ,369  ,562  ,,,,,
,65-69,25826  ,9534  ,16292  ,17794  ,6223  ,11571  ,8032  ,3311  ,4721  ,,,,,
,70,2173  ,758  ,1415  ,1456  ,475  ,981  ,717  ,283  ,434  ,,,,,
,71,3112  ,998  ,2114  ,2063  ,624  ,1439  ,1049  ,374  ,675  ,,,,,
,72,6240  ,1958  ,4282  ,4015  ,1202  ,2813  ,2225  ,756  ,1469  ,,,,,
,73,5142  ,1619  ,3523  ,3303  ,959  ,2344  ,1839  ,660  ,1179  ,,,,,
,74,6289  ,1878  ,4411  ,3958  ,1099  ,2859  ,2331  ,779  ,1552  ,,,,,
,70-74,22956  ,7211  ,15745  ,14795  ,4359  ,10436  ,8161  ,2852  ,5309  ,,,,,
,75,6001  ,1629  ,4372  ,3824  ,984  ,2840  ,2177  ,645  ,1532  ,,,,,
,76,6011  ,1677  ,4334  ,3815  ,1020  ,2795  ,2196  ,657  ,1539  ,,,,,
,77,4431  ,1190  ,3241  ,2709  ,736  ,1973  ,1722  ,454  ,1268  ,,,,,
,78,3889  ,1047  ,2842  ,2295  ,579  ,1716  ,1594  ,468  ,1126  ,,,,,
,79,3064  ,756  ,2308  ,1825  ,413  ,1412  ,1239  ,343  ,896  ,,,,,
