,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2012 г.,,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2011,1786173 ,917708 ,868465 ,1257744 ,646636 ,611108 ,528429 ,271072 ,257357 
,1,2010,1659811 ,851544 ,808267 ,1176133 ,603994 ,572139 ,483678 ,247550 ,236128 
,2,2009,1679863 ,861568 ,818295 ,1185991 ,608998 ,576993 ,493872 ,252570 ,241302 
,3,2008,1671614 ,855373 ,816241 ,1167134 ,597784 ,569350 ,504480 ,257589 ,246891 
,4,2007,1582042 ,811470 ,770572 ,1102952 ,565896 ,537056 ,479090 ,245574 ,233516 
,0-4,,8379503 ,4297663 ,4081840 ,5889954 ,3023308 ,2866646 ,2489549 ,1274355 ,1215194 
,5,2006,1458396 ,746877 ,711519 ,1029845 ,527560 ,502285 ,428551 ,219317 ,209234 
,6,2005,1464992 ,748010 ,716982 ,1041294 ,531713 ,509581 ,423698 ,216297 ,207401 
,7,2004,1471934 ,753369 ,718565 ,1038545 ,531852 ,506693 ,433389 ,221517 ,211872 
,8,2003,1457362 ,746692 ,710670 ,1027713 ,526746 ,500967 ,429649 ,219946 ,209703 
,9,2002,1408097 ,721286 ,686811 ,989056 ,506653 ,482403 ,419041 ,214633 ,204408 
,5-9,-,7260781 ,3716234 ,3544547 ,5126453 ,2624524 ,2501929 ,2134328 ,1091710 ,1042618 
,10,2001,1319901 ,676225 ,643676 ,921251 ,471539 ,449712 ,398650 ,204686 ,193964 
,11,2000,1350876 ,693296 ,657580 ,941455 ,483223 ,458232 ,409421 ,210073 ,199348 
,12,1999,1274436 ,653276 ,621160 ,876608 ,449379 ,427229 ,397828 ,203897 ,193931 
,13,1998,1330046 ,680997 ,649049 ,909459 ,465163 ,444296 ,420587 ,215834 ,204753 
,14,1997,1291693 ,660864 ,630829 ,877551 ,448862 ,428689 ,414142 ,212002 ,202140 
,10-14,-,6566952 ,3364658 ,3202294 ,4526324 ,2318166 ,2208158 ,2040628 ,1046492 ,994136 
,15,1996,1360358 ,696169 ,664189 ,928921 ,475202 ,453719 ,431437 ,220967 ,210470 
,16,1995,1441146 ,735014 ,706132 ,1009466 ,513781 ,495685 ,431680 ,221233 ,210447 
,17,1994,1508715 ,772555 ,736160 ,1090005 ,557124 ,532881 ,418710 ,215431 ,203279 
,18,1993,1538643 ,784904 ,753739 ,1159886 ,583345 ,576541 ,378757 ,201559 ,177198 
,19,1992,1782710 ,906701 ,876009 ,1387223 ,691230 ,695993 ,395487 ,215471 ,180016 
,15-19,-,7631572 ,3895343 ,3736229 ,5575501 ,2820682 ,2754819 ,2056071 ,1074661 ,981410 
,20,1991,1982726 ,1012797 ,969929 ,1544155 ,778003 ,766152 ,438571 ,234794 ,203777 
,21,1990,2278309 ,1157286 ,1121023 ,1758564 ,880565 ,877999 ,519745 ,276721 ,243024 
,22,1989,2337807 ,1189369 ,1148438 ,1785898 ,897296 ,888602 ,551909 ,292073 ,259836 
,23,1988,2442932 ,1239062 ,1203870 ,1850837 ,926129 ,924708 ,592095 ,312933 ,279162 
,24,1987,2556925 ,1298674 ,1258251 ,1931703 ,967944 ,963759 ,625222 ,330730 ,294492 
,20-24,-,11598699 ,5897188 ,5701511 ,8871157 ,4449937 ,4421220 ,2727542 ,1447251 ,1280291 
,25,1986,2537639 ,1282613 ,1255026 ,1923995 ,960304 ,963691 ,613644 ,322309 ,291335 
,26,1985,2504129 ,1255155 ,1248974 ,1918414 ,949553 ,968861 ,585715 ,305602 ,280113 
,27,1984,2441902 ,1227939 ,1213963 ,1871922 ,931783 ,940139 ,569980 ,296156 ,273824 
,28,1983,2496500 ,1255240 ,1241260 ,1923757 ,957378 ,966379 ,572743 ,297862 ,274881 
,29,1982,2348224 ,1176299 ,1171925 ,1808668 ,896352 ,912316 ,539556 ,279947 ,259609 
,25-29,-,12328394 ,6197246 ,6131148 ,9446756 ,4695370 ,4751386 ,2881638 ,1501876 ,1379762 
,30,1981,2238844 ,1119941 ,1118903 ,1726457 ,855453 ,871004 ,512387 ,264488 ,247899 
,31,1980,2383938 ,1189694 ,1194244 ,1854374 ,917857 ,936517 ,529564 ,271837 ,257727 
,32,1979,2196426 ,1092500 ,1103926 ,1692283 ,834094 ,858189 ,504143 ,258406 ,245737 
,33,1978,2182139 ,1077624 ,1104515 ,1678983 ,821664 ,857319 ,503156 ,255960 ,247196 
,34,1977,2114918 ,1039163 ,1075755 ,1621818 ,789528 ,832290 ,493100 ,249635 ,243465 
,30-34,-,11116265 ,5518922 ,5597343 ,8573915 ,4218596 ,4355319 ,2542350 ,1300326 ,1242024 
,35,1976,2132889 ,1046115 ,1086774 ,1634703 ,794073 ,840630 ,498186 ,252042 ,246144 
,36,1975,2152238 ,1049430 ,1102808 ,1650911 ,797444 ,853467 ,501327 ,251986 ,249341 
,37,1974,2069001 ,1010768 ,1058233 ,1577142 ,764003 ,813139 ,491859 ,246765 ,245094 
,38,1973,2009084 ,979977 ,1029107 ,1532768 ,741439 ,791329 ,476316 ,238538 ,237778 
,39,1972,2016740 ,982309 ,1034431 ,1532107 ,739343 ,792764 ,484633 ,242966 ,241667 
,35-39,-,10379952 ,5068599 ,5311353 ,7927631 ,3836302 ,4091329 ,2452321 ,1232297 ,1220024 
,40,1971,1945068 ,949882 ,995186 ,1468739 ,710837 ,757902 ,476329 ,239045 ,237284 
,41,1970,2019883 ,988055 ,1031828 ,1532137 ,742843 ,789294 ,487746 ,245212 ,242534 
,42,1969,1817151 ,881051 ,936100 ,1351102 ,647116 ,703986 ,466049 ,233935 ,232114 
,43,1968,1793354 ,866877 ,926477 ,1317989 ,628309 ,689680 ,475365 ,238568 ,236797 
,44,1967,1764467 ,848611 ,915856 ,1288389 ,609843 ,678546 ,476078 ,238768 ,237310 
,40-44,-,9339923 ,4534476 ,4805447 ,6958356 ,3338948 ,3619408 ,2381567 ,1195528 ,1186039 
,45,1966,1825159 ,871985 ,953174 ,1323510 ,621078 ,702432 ,501649 ,250907 ,250742 
,46,1965,1927397 ,917317 ,1010080 ,1406809 ,657160 ,749649 ,520588 ,260157 ,260431 
,47,1964,1967504 ,929983 ,1037521 ,1430369 ,662284 ,768085 ,537135 ,267699 ,269436 
,48,1963,2111245 ,995826 ,1115419 ,1529459 ,705860 ,823599 ,581786 ,289966 ,291820 
,49,1962,2191882 ,1024820 ,1167062 ,1589811 ,725438 ,864373 ,602071 ,299382 ,302689 
,45-49,-,10023187 ,4739931 ,5283256 ,7279958 ,3371820 ,3908138 ,2743229 ,1368111 ,1375118 
,50,1961,2297754 ,1071197 ,1226557 ,1664907 ,755891 ,909016 ,632847 ,315306 ,317541 
,51,1960,2466168 ,1146909 ,1319259 ,1796316 ,813508 ,982808 ,669852 ,333401 ,336451 
,52,1959,2295850 ,1051003 ,1244847 ,1659673 ,736643 ,923030 ,636177 ,314360 ,321817 
,53,1958,2282020 ,1034668 ,1247352 ,1658143 ,729674 ,928469 ,623877 ,304994 ,318883 
,54,1957,2218743 ,999770 ,1218973 ,1613179 ,704784 ,908395 ,605564 ,294986 ,310578 
,50-54,-,11560535 ,5303547 ,6256988 ,8392218 ,3740500 ,4651718 ,3168317 ,1563047 ,1605270 
,55,1956,2135680 ,948704 ,1186976 ,1561029 ,672734 ,888295 ,574651 ,275970 ,298681 
,56,1955,2141708 ,938823 ,1202885 ,1576657 ,670862 ,905795 ,565051 ,267961 ,297090 
,57,1954,2116988 ,916329 ,1200659 ,1560980 ,656103 ,904877 ,556008 ,260226 ,295782 
,58,1953,1904480 ,818180 ,1086300 ,1412886 ,589835 ,823051 ,491594 ,228345 ,263249 
