,1.1.1.ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2015 г. ,,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2014,1930593 ,992767 ,937826 ,1380416 ,710228 ,670188 ,550177 ,282539 ,267638 
,1,2013,1910448 ,980879 ,929569 ,1361280 ,699028 ,662252 ,549168 ,281851 ,267317 
,2,2012,1917288 ,985544 ,931744 ,1362604 ,701087 ,661517 ,554684 ,284457 ,270227 
,3,2011,1813760 ,931898 ,881862 ,1281812 ,658453 ,623359 ,531948 ,273445 ,258503 
,4,2010,1690229 ,867208 ,823021 ,1203509 ,617919 ,585590 ,486720 ,249289 ,237431 
,0-4,-,9262318 ,4758296 ,4504022 ,6589621 ,3386715 ,3202906 ,2672697 ,1371581 ,1301116 
,5,2009,1711199 ,877570 ,833629 ,1213625 ,622932 ,590693 ,497574 ,254638 ,242936 
,6,2008,1703123 ,871408 ,831715 ,1194586 ,611573 ,583013 ,508537 ,259835 ,248702 
,7,2007,1612321 ,826689 ,785632 ,1132122 ,580537 ,551585 ,480199 ,246152 ,234047 
,8,2006,1486683 ,761146 ,725537 ,1054047 ,539504 ,514543 ,432636 ,221642 ,210994 
,9,2005,1490560 ,761046 ,729514 ,1061564 ,541900 ,519664 ,428996 ,219146 ,209850 
,5-9,-,8003886 ,4097859 ,3906027 ,5655944 ,2896446 ,2759498 ,2347942 ,1201413 ,1146529 
,10,2004,1497740 ,766580 ,731160 ,1056842 ,541110 ,515732 ,440898 ,225470 ,215428 
,11,2003,1481570 ,758930 ,722640 ,1043971 ,534873 ,509098 ,437599 ,224057 ,213542 
,12,2002,1430985 ,733000 ,697985 ,1004472 ,514378 ,490094 ,426513 ,218622 ,207891 
,13,2001,1342089 ,687532 ,654557 ,935805 ,478841 ,456964 ,406284 ,208691 ,197593 
,14,2000,1373692 ,705050 ,668642 ,956279 ,490539 ,465740 ,417413 ,214511 ,202902 
,10-14,-,7126076 ,3651092 ,3474984 ,4997369 ,2559741 ,2437628 ,2128707 ,1091351 ,1037356 
,15,1999,1296935 ,664794 ,632141 ,895029 ,458649 ,436380 ,401906 ,206145 ,195761 
,16,1998,1352968 ,692760 ,660208 ,950467 ,485964 ,464503 ,402501 ,206796 ,195705 
,17,1997,1315792 ,673164 ,642628 ,936965 ,477905 ,459060 ,378827 ,195259 ,183568 
,18,1996,1388578 ,711577 ,677001 ,1015828 ,515591 ,500237 ,372750 ,195986 ,176764 
,19,1995,1474676 ,754544 ,720132 ,1087622 ,549120 ,538502 ,387054 ,205424 ,181630 
,15-19,-,6828949 ,3496839 ,3332110 ,4885911 ,2487229 ,2398682 ,1943038 ,1009610 ,933428 
,20,1994,1545959 ,794327 ,751632 ,1157481 ,588460 ,569021 ,388478 ,205867 ,182611 
,21,1993,1576420 ,806555 ,769865 ,1199008 ,604054 ,594954 ,377412 ,202501 ,174911 
,22,1992,1821936 ,928076 ,893860 ,1430561 ,712709 ,717852 ,391375 ,215367 ,176008 
,23,1991,2025148 ,1035037 ,990111 ,1592543 ,802921 ,789622 ,432605 ,232116 ,200489 
,24,1990,2323467 ,1179902 ,1143565 ,1810941 ,904000 ,906941 ,512526 ,275902 ,236624 
,20-24,-,9292930 ,4743897 ,4549033 ,7190534 ,3612144 ,3578390 ,2102396 ,1131753 ,970643 
,25,1989,2382966 ,1210942 ,1172024 ,1842780 ,920077 ,922703 ,540186 ,290865 ,249321 
,26,1988,2490530 ,1261592 ,1228938 ,1913248 ,951207 ,962041 ,577282 ,310385 ,266897 
,27,1987,2607083 ,1322517 ,1284566 ,1998180 ,995295 ,1002885 ,608903 ,327222 ,281681 
,28,1986,2588112 ,1306826 ,1281286 ,1989470 ,988296 ,1001174 ,598642 ,318530 ,280112 
,29,1985,2551722 ,1277795 ,1273927 ,1978386 ,975626 ,1002760 ,573336 ,302169 ,271167 
,25-29,-,12620413 ,6379672 ,6240741 ,9722064 ,4830501 ,4891563 ,2898349 ,1549171 ,1349178 
,30,1984,2487457 ,1248697 ,1238760 ,1927673 ,955142 ,972531 ,559784 ,293555 ,266229 
,31,1983,2537589 ,1272506 ,1265083 ,1971478 ,976492 ,994986 ,566111 ,296014 ,270097 
,32,1982,2383362 ,1190275 ,1193087 ,1848097 ,911161 ,936936 ,535265 ,279114 ,256151 
,33,1981,2270574 ,1131879 ,1138695 ,1758806 ,866765 ,892041 ,511768 ,265114 ,246654 
,34,1980,2413448 ,1199890 ,1213558 ,1882075 ,926719 ,955356 ,531373 ,273171 ,258202 
