,1.1.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2020 г. ,,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2019,1476347,759386,716961,1111828,571406,540422,364519,187980,176539
,1,2018,1599323,824719,774604,1203245,620506,582739,396078,204213,191865
,2,2017,1685166,866044,819122,1272281,653553,618728,412885,212491,200394
,3,2016,1883092,967291,915801,1434236,736352,697884,448856,230939,217917
,4,2015,1935184,994677,940507,1465318,752971,712347,469866,241706,228160
,0-4,-,8579112,4412117,4166995,6486908,3334788,3152120,2092204,1077329,1014875
,5,2014,1937337,996077,941260,1404164,721844,682320,533173,274233,258940
,6,2013,1920005,985682,934323,1391012,714249,676763,528993,271433,257560
,7,2012,1927854,990917,936937,1396093,718056,678037,531761,272861,258900
,8,2011,1823754,936961,886793,1309685,672140,637545,514069,264821,249248
,9,2010,1700467,872491,827976,1228829,630500,598329,471638,241991,229647
,5-9,-,9309417,4782128,4527289,6729783,3456789,3272994,2579634,1325339,1254295
,10,2009,1721231,882728,838503,1236858,634340,602518,484373,248388,235985
,11,2008,1712873,876491,836382,1214766,621465,593301,498107,255026,243081
,12,2007,1621157,831176,789981,1145530,587149,558381,475627,244027,231600
,13,2006,1494773,765234,729539,1066937,546113,520824,427836,219121,208715
,14,2005,1498329,765021,733308,1074544,548204,526340,423785,216817,206968
,10-14,-,8048363,4120650,3927713,5738635,2937271,2801364,2309728,1183379,1126349
,15,2004,1505479,770543,734936,1072912,549018,523894,432567,221525,211042
,16,2003,1488943,762635,726308,1076168,551356,524812,412775,211279,201496
,17,2002,1439058,737153,701905,1048998,536918,512080,390060,200235,189825
,18,2001,1345006,684822,660184,997440,506106,491334,347566,178716,168850
,19,2000,1382843,706363,676480,1025418,520907,504511,357425,185456,171969
,15-19,-,7161329,3661516,3499813,5220936,2664305,2556631,1940393,997211,943182
,20,1999,1308095,666975,641120,952103,482805,469298,355992,184170,171822
,21,1998,1365369,694972,670397,984107,498112,485995,381262,196860,184402
,22,1997,1324003,671481,652522,943354,476515,466839,380649,194966,185683
,23,1996,1401031,714299,686732,995464,504159,491305,405567,210140,195427
,24,1995,1490328,760643,729685,1067217,536921,530296,423111,223722,199389
,20-24,-,6888826,3508370,3380456,4942245,2498512,2443733,1946581,1009858,936723
,25,1994,1575412,813977,761435,1160421,590623,569798,414991,223354,191637
,26,1993,1600601,821241,779360,1211348,605535,605813,389253,215706,173547
,27,1992,1846606,942332,904274,1469672,725773,743899,376934,216559,160375
,28,1991,2052899,1052586,1000313,1646990,825480,821510,405909,227106,178803
,29,1990,2351744,1198565,1153179,1868803,928411,940392,482941,270154,212787
,25-29,-,9427262,4828701,4598561,7357234,3675822,3681412,2070028,1152879,917149
,30,1989,2392321,1211380,1180941,1886626,931601,955025,505695,279779,225916
,31,1988,2496085,1259251,1236834,1954090,960717,993373,541995,298534,243461
,32,1987,2608745,1317259,1291486,2033827,1002560,1031267,574918,314699,260219
,33,1986,2587297,1299655,1287642,2018648,992329,1026319,568649,307326,261323
,34,1985,2548695,1269484,1279211,1999900,976612,1023288,548795,292872,255923
,30-34,-,12633143,6357029,6276114,9893091,4863819,5029272,2740052,1493210,1246842
,35,1984,2479058,1236805,1242253,1940859,951580,989279,538199,285225,252974
,36,1983,2522661,1256049,1266612,1975849,967803,1008046,546812,288246,258566
,37,1982,2364817,1171642,1193175,1846060,899755,946305,518757,271887,246870
,38,1981,2248693,1110787,1137906,1750757,851941,898816,497936,258846,239090
,39,1980,2388005,1176736,1211269,1868781,909476,959305,519224,267260,251964
,35-39,-,12003234,5952019,6051215,9382306,4580555,4801751,2620928,1371464,1249464
,40,1979,2191970,1073749,1118221,1695698,819804,875894,496272,253945,242327
,41,1978,2171795,1054383,1117412,1674263,802432,871831,497532,251951,245581
,42,1977,2099474,1012886,1086588,1609734,766537,843197,489740,246349,243391
,43,1976,2114969,1017944,1097025,1618488,769173,849315,496481,248771,247710
,44,1975,2129283,1018732,1110551,1629194,769915,859279,500089,248817,251272
,40-44,-,10707491,5177694,5529797,8227377,3927861,4299516,2480114,1249833,1230281
,45,1974,2042279,977506,1064773,1550730,734102,816628,491549,243404,248145
,46,1973,1980368,946514,1033854,1504427,711214,793213,475941,235300,240641
,47,1972,1983519,945733,1037786,1498913,706013,792900,484606,239720,244886
,48,1971,1908131,911295,996836,1432189,676447,755742,475942,234848,241094
,49,1970,1981551,948726,1032825,1494997,708166,786831,486554,240560,245994
,45-49,-,9895848,4729774,5166074,7481256,3535942,3945314,2414592,1193832,1220760
,50,1969,1773868,838792,935076,1310889,610947,699942,462979,227845,235134
,51,1968,1746550,822278,924272,1275594,590871,684723,470956,231407,239549
,52,1967,1709604,797679,911925,1239612,567671,671941,469992,230008,239984
,53,1966,1760306,813694,946612,1267112,573598,693514,493194,240096,253098
,54,1965,1855257,853207,1002050,1345180,605434,739746,510077,247773,262304
,50-54,-,8845585,4125650,4719935,6438387,2948521,3489866,2407198,1177129,1230069
,55,1964,1883455,856173,1027282,1358629,602983,755646,524826,253190,271636
,56,1963,2010621,908913,1101708,1445892,637396,808496,564729,271517,293212
,57,1962,2075270,926676,1148594,1492760,647922,844838,582510,278754,303756
,58,1961,2160722,958934,1201788,1552212,667857,884355,608510,291077,317433
,59,1960,2312875,1022782,1290093,1671704,717339,954365,641171,305443,335728
,55-59,-,10442943,4673478,5769465,7521197,3273497,4247700,2921746,1399981,1521765
,60,1959,2129747,919672,1210075,1526453,636145,890308,603294,283527,319767
,61,1958,2100971,893451,1207520,1513852,621386,892466,587119,272065,315054
,62,1957,2023230,850473,1172757,1458912,591043,867869,564318,259430,304888
,63,1956,1932831,795193,1137638,1402062,556482,845580,530769,238711,292058
,64,1955,1919546,774166,1145380,1403985,546628,857357,515561,227538,288023
,60-64,-,10106325,4232955,5873370,7305264,2951684,4353580,2801061,1281271,1519790
,65,1954,1879358,743329,1136029,1377058,525870,851188,502300,217459,284841
,66,1953,1675467,653791,1021676,1236413,466202,770211,439054,187589,251465
,67,1952,1665435,638560,1026875,1231641,456116,775525,433794,182444,251350
,68,1951,1572340,593603,978737,1169274,427093,742181,403066,166510,236556
,69,1950,1546259,582250,964009,1163529,426128,737401,382730,156122,226608
,65-69,-,8338859,3211533,5127326,6177915,2301409,3876506,2160944,910124,1250820
,70,1949,1519640,553110,966530,1140255,401353,738902,379385,151757,227628
,71,1948,1229746,441612,788134,933930,325525,608405,295816,116087,179729
,72,1947,1169308,413350,755958,898627,310228,588399,270681,103122,167559
,73,1946,1020729,350566,670163,787255,265138,522117,233474,85428,148046
,74,1945,614120,208923,405197,485405,163136,322269,128715,45787,82928
,70-74,-,5553543,1967561,3585982,4245472,1465380,2780092,1308071,502181,805890
,75,1944,445116,146193,298923,344729,111770,232959,100387,34423,65964
,76,1943,398547,128426,270121,298526,95781,202745,100021,32645,67376
,77,1942,567639,170244,397395,414868,122685,292183,152771,47559,105212
,78,1941,844489,243586,600903,618177,175867,442310,226312,67719,158593
,79,1940,876781,251507,625274,639573,182369,457204,237208,69138,168070
,75-79,-,3132572,939956,2192616,2315873,688472,1627401,816699,251484,565215
,80,1939,892582,242426,650156,648147,173344,474803,244435,69082,175353
,81,1938,836648,220123,616525,608027,157125,450902,228621,62998,165623
,82,1937,788571,210579,577992,584552,153617,430935,204019,56962,147057
,83,1936,580514,151714,428800,415197,106947,308250,165317,44767,120550
,84,1935,461841,118546,343295,330734,83764,246970,131107,34782,96325
,80-84,-,3560156,943388,2616768,2586657,674797,1911860,973499,268591,704908
,85,1934,323002,80166,242836,231099,56561,174538,91903,23605,68298
,86,1933,268317,64254,204063,190700,45040,145660,77617,19214,58403
,87,1932,289601,68401,221200,204208,47485,156723,85393,20916,64477
,88,1931,242288,56590,185698,172275,39878,132397,70013,16712,53301
,89,1930,253942,61773,192169,179228,44113,135115,74714,17660,57054
,85-89,-,1377150,331184,1045966,977510,233077,744433,399640,98107,301533
,90,1929,178093,39220,138873,126400,27891,98509,51693,11329,40364
,91,1928,155667,33385,122282,109757,23919,85838,45910,9466,36444
,92,1927,114247,25636,88611,82324,19058,63266,31923,6578,25345
,93,1926,86494,19389,67105,62585,14457,48128,23909,4932,18977
,94,1925,63121,14148,48973,46120,10710,35410,17001,3438,13563
,90-94,-,597622,131778,465844,427186,96035,331151,170436,35743,134693
,95,1924,45699,10117,35582,33409,7526,25883,12290,2591,9699
,96,1923,29182,6778,22404,21950,5188,16762,7232,1590,5642
,97,1922,17829,4700,13129,13622,3776,9846,4207,924,3283
,98,1921,13056,3658,9398,10305,2955,7350,2751,703,2048
,99,1920,11146,3330,7816,8672,2777,5895,2474,553,1921
,95-99,-,116912,28583,88329,87958,22222,65736,28954,6361,22593
,100 и старше,1919,22898,7005,15893,19280,6029,13251,3618,976,2642
,,,,,,,,,,,
,Все население,-,146748590,68123069,78625521,109562470,50136787,59425683,37186120,17986282,19199838
