,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2009 г.,,,,,,,,,
,(человек),,,,,,,,,
,,,,,,,,,,
,Новгородская область,,,,,,,,,
,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,
,0,6837  ,3534  ,3303  ,4808  ,2496  ,2312  ,2029  ,1038  ,991  
,1,6928  ,3583  ,3345  ,4724  ,2475  ,2249  ,2204  ,1108  ,1096  
,2,6362  ,3298  ,3064  ,4479  ,2317  ,2162  ,1883  ,981  ,902  
,0-2,20127  ,10415  ,9712  ,14011  ,7288  ,6723  ,6116  ,3127  ,2989  
,3,6166  ,3273  ,2893  ,4401  ,2348  ,2053  ,1765  ,925  ,840  
,4,6360  ,3254  ,3106  ,4566  ,2338  ,2228  ,1794  ,916  ,878  
,0-4,32653  ,16942  ,15711  ,22978  ,11974  ,11004  ,9675  ,4968  ,4707  
,5,6242  ,3233  ,3009  ,4600  ,2405  ,2195  ,1642  ,828  ,814  
,3-5,18768  ,9760  ,9008  ,13567  ,7091  ,6476  ,5201  ,2669  ,2532  
,6,6001  ,3064  ,2937  ,4430  ,2272  ,2158  ,1571  ,792  ,779  
,1-6,38059  ,19705  ,18354  ,27200  ,14155  ,13045  ,10859  ,5550  ,5309  
,7,5457  ,2792  ,2665  ,3960  ,2011  ,1949  ,1497  ,781  ,716  
,8,5220  ,2705  ,2515  ,3766  ,1945  ,1821  ,1454  ,760  ,694  
,9,5102  ,2635  ,2467  ,3619  ,1873  ,1746  ,1483  ,762  ,721  
,5-9,28022  ,14429  ,13593  ,20375  ,10506  ,9869  ,7647  ,3923  ,3724  
,10,5512  ,2937  ,2575  ,3939  ,2121  ,1818  ,1573  ,816  ,757  
,11,5287  ,2653  ,2634  ,3793  ,1908  ,1885  ,1494  ,745  ,749  
,12,5448  ,2868  ,2580  ,3865  ,2062  ,1803  ,1583  ,806  ,777  
,13,5772  ,2998  ,2774  ,4035  ,2056  ,1979  ,1737  ,942  ,795  
,8-13,32341  ,16796  ,15545  ,23017  ,11965  ,11052  ,9324  ,4831  ,4493  
,0-13,82694  ,42827  ,39867  ,58985  ,30627  ,28358  ,23709  ,12200  ,11509  
,14,5986  ,3024  ,2962  ,4230  ,2136  ,2094  ,1756  ,888  ,868  
,10-14,28005  ,14480  ,13525  ,19862  ,10283  ,9579  ,8143  ,4197  ,3946  
,0-14,88680  ,45851  ,42829  ,63215  ,32763  ,30452  ,25465  ,13088  ,12377  
,15,5957  ,3120  ,2837  ,4145  ,2162  ,1983  ,1812  ,958  ,854  
,14-15,11943  ,6144  ,5799  ,8375  ,4298  ,4077  ,3568  ,1846  ,1722  
,16,7160  ,3680  ,3480  ,4936  ,2547  ,2389  ,2224  ,1133  ,1091  
,17,8121  ,4142  ,3979  ,5633  ,2863  ,2770  ,2488  ,1279  ,1209  
,16-17,15281  ,7822  ,7459  ,10569  ,5410  ,5159  ,4712  ,2412  ,2300  
,0-17,109918  ,56793  ,53125  ,77929  ,40335  ,37594  ,31989  ,16458  ,15531  
,18,9035  ,4628  ,4407  ,6252  ,3207  ,3045  ,2783  ,1421  ,1362  
,19,9698  ,4638  ,5060  ,6662  ,3118  ,3544  ,3036  ,1520  ,1516  
,15-19,39971  ,20208  ,19763  ,27628  ,13897  ,13731  ,12343  ,6311  ,6032  
,20,10552  ,5265  ,5287  ,7394  ,3632  ,3762  ,3158  ,1633  ,1525  
,21,12155  ,6133  ,6022  ,8575  ,4216  ,4359  ,3580  ,1917  ,1663  
,22,11617  ,5953  ,5664  ,8280  ,4104  ,4176  ,3337  ,1849  ,1488  
,23,10406  ,5222  ,5184  ,8019  ,3898  ,4121  ,2387  ,1324  ,1063  
,24,10932  ,5520  ,5412  ,8291  ,3944  ,4347  ,2641  ,1576  ,1065  
,20-24,55662  ,28093  ,27569  ,40559  ,19794  ,20765  ,15103  ,8299  ,6804  
,25,10309  ,4785  ,5524  ,7967  ,3564  ,4403  ,2342  ,1221  ,1121  
,26,10240  ,4757  ,5483  ,7835  ,3562  ,4273  ,2405  ,1195  ,1210  
,27,9373  ,4453  ,4920  ,7196  ,3354  ,3842  ,2177  ,1099  ,1078  
,28,9783  ,4886  ,4897  ,7495  ,3688  ,3807  ,2288  ,1198  ,1090  
,29,9356  ,4668  ,4688  ,7176  ,3544  ,3632  ,2180  ,1124  ,1056  
,25-29,49061  ,23549  ,25512  ,37669  ,17712  ,19957  ,11392  ,5837  ,5555  
,20-29,104723  ,51642  ,53081  ,78228  ,37506  ,40722  ,26495  ,14136  ,12359  
,16-29,138737  ,68730  ,70007  ,101711  ,49241  ,52470  ,37026  ,19489  ,17537  
,30,9180  ,4507  ,4673  ,7059  ,3391  ,3668  ,2121  ,1116  ,1005  
,31,8972  ,4437  ,4535  ,6991  ,3388  ,3603  ,1981  ,1049  ,932  
,32,9080  ,4531  ,4549  ,7022  ,3511  ,3511  ,2058  ,1020  ,1038  
,33,8951  ,4384  ,4567  ,7002  ,3434  ,3568  ,1949  ,950  ,999  
,34,8723  ,4340  ,4383  ,6777  ,3311  ,3466  ,1946  ,1029  ,917  
,30-34,44906  ,22199  ,22707  ,34851  ,17035  ,17816  ,10055  ,5164  ,4891  
,15-34,189600  ,94049  ,95551  ,140707  ,68438  ,72269  ,48893  ,25611  ,23282  
,35,8319  ,4119  ,4200  ,6412  ,3166  ,3246  ,1907  ,953  ,954  
,36,8408  ,4199  ,4209  ,6373  ,3135  ,3238  ,2035  ,1064  ,971  
,37,8346  ,4027  ,4319  ,6411  ,3043  ,3368  ,1935  ,984  ,951  
,38,8111  ,3839  ,4272  ,6150  ,2902  ,3248  ,1961  ,937  ,1024  
,39,7766  ,3699  ,4067  ,5747  ,2713  ,3034  ,2019  ,986  ,1033  
,35-39,40950  ,19883  ,21067  ,31093  ,14959  ,16134  ,9857  ,4924  ,4933  
,20-39,190579  ,93724  ,96855  ,144172  ,69500  ,74672  ,46407  ,24224  ,22183  
,40,7559  ,3568  ,3991  ,5561  ,2626  ,2935  ,1998  ,942  ,1056  
,41,7883  ,3662  ,4221  ,5711  ,2603  ,3108  ,2172  ,1059  ,1113  
,42,8356  ,3873  ,4483  ,6060  ,2814  ,3246  ,2296  ,1059  ,1237  
,43,8550  ,3898  ,4652  ,6035  ,2698  ,3337  ,2515  ,1200  ,1315  
,44,8736  ,4039  ,4697  ,6166  ,2781  ,3385  ,2570  ,1258  ,1312  
,40-44,41084  ,19040  ,22044  ,29533  ,13522  ,16011  ,11551  ,5518  ,6033  
,45,9184  ,4193  ,4991  ,6433  ,2848  ,3585  ,2751  ,1345  ,1406  
,46,10226  ,4660  ,5566  ,7144  ,3127  ,4017  ,3082  ,1533  ,1549  
,47,10992  ,5124  ,5868  ,7693  ,3425  ,4268  ,3299  ,1699  ,1600  
,48,11083  ,5098  ,5985  ,7724  ,3419  ,4305  ,3359  ,1679  ,1680  
,49,10871  ,5023  ,5848  ,7572  ,3292  ,4280  ,3299  ,1731  ,1568  
,45-49,52356  ,24098  ,28258  ,36566  ,16111  ,20455  ,15790  ,7987  ,7803  
,15-49,323990  ,157070  ,166920  ,237899  ,113030  ,124869  ,86091  ,44040  ,42051  
,50,11216  ,5165  ,6051  ,7782  ,3350  ,4432  ,3434  ,1815  ,1619  
,51,11228  ,5023  ,6205  ,7901  ,3344  ,4557  ,3327  ,1679  ,1648  
,52,10957  ,4826  ,6131  ,7759  ,3267  ,4492  ,3198  ,1559  ,1639  
,53,10586  ,4704  ,5882  ,7600  ,3280  ,4320  ,2986  ,1424  ,1562  
,54,10512  ,4518  ,5994  ,7472  ,3091  ,4381  ,3040  ,1427  ,1613  
,50-54,54499  ,24236  ,30263  ,38514  ,16332  ,22182  ,15985  ,7904  ,8081  
,55,9515  ,4049  ,5466  ,6907  ,2785  ,4122  ,2608  ,1264  ,1344  
,56,9576  ,4106  ,5470  ,6881  ,2821  ,4060  ,2695  ,1285  ,1410  
,57,9195  ,3886  ,5309  ,6716  ,2715  ,4001  ,2479  ,1171  ,1308  
,58,9056  ,3789  ,5267  ,6495  ,2571  ,3924  ,2561  ,1218  ,1343  
,59,9547  ,3950  ,5597  ,6875  ,2758  ,4117  ,2672  ,1192  ,1480  
,55-59,46889  ,19780  ,27109  ,33874  ,13650  ,20224  ,13015  ,6130  ,6885  
,60,7308  ,2969  ,4339  ,5231  ,2025  ,3206  ,2077  ,944  ,1133  
,61,7081  ,2865  ,4216  ,5142  ,2024  ,3118  ,1939  ,841  ,1098  
,62,6211  ,2462  ,3749  ,4410  ,1663  ,2747  ,1801  ,799  ,1002  
,63,3889  ,1592  ,2297  ,2743  ,1105  ,1638  ,1146  ,487  ,659  
,64,3168  ,1204  ,1964  ,2182  ,811  ,1371  ,986  ,393  ,593  
,60-64,27657  ,11092  ,16565  ,19708  ,7628  ,12080  ,7949  ,3464  ,4485  
,65,2403  ,906  ,1497  ,1633  ,588  ,1045  ,770  ,318  ,452  
,66,3552  ,1296  ,2256  ,2440  ,849  ,1591  ,1112  ,447  ,665  
,67,7177  ,2466  ,4711  ,4681  ,1577  ,3104  ,2496  ,889  ,1607  
,68,6084  ,2120  ,3964  ,3998  ,1326  ,2672  ,2086  ,794  ,1292  
,69,7664  ,2516  ,5148  ,4826  ,1482  ,3344  ,2838  ,1034  ,1804  
,65-69,26880  ,9304  ,17576  ,17578  ,5822  ,11756  ,9302  ,3482  ,5820  
,70,7388  ,2367  ,5021  ,4682  ,1442  ,3240  ,2706  ,925  ,1781  
,71,7705  ,2459  ,5246  ,4771  ,1433  ,3338  ,2934  ,1026  ,1908  
,72,5895  ,1818  ,4077  ,3575  ,1079  ,2496  ,2320  ,739  ,1581  
,73,5376  ,1705  ,3671  ,3066  ,885  ,2181  ,2310  ,820  ,1490  
,74,4373  ,1282  ,3091  ,2484  ,668  ,1816  ,1889  ,614  ,1275  
,70-74,30737  ,9631  ,21106  ,18578  ,5507  ,13071  ,12159  ,4124  ,8035  
,75,4556  ,1229  ,3327  ,2481  ,645  ,1836  ,2075  ,584  ,1491  
,76,5503  ,1468  ,4035  ,3039  ,765  ,2274  ,2464  ,703  ,1761  
,77,4891  ,1308  ,3583  ,2723  ,702  ,2021  ,2168  ,606  ,1562  
,78,5051  ,1295  ,3756  ,2755  ,694  ,2061  ,2296  ,601  ,1695  
,79,4395  ,1101  ,3294  ,2423  ,577  ,1846  ,1972  ,524  ,1448  
,75-79,24396  ,6401  ,17995  ,13421  ,3383  ,10038  ,10975  ,3018  ,7957  
,80 лет и старше,22258  ,4092  ,18166  ,12950  ,2362  ,10588  ,9308  ,1730  ,7578  
,85 лет и старше,6399  ,931  ,5468  ,3768  ,557  ,3211  ,2631  ,374  ,2257  
,,,,,,,,,,
,Все население,645986  ,287457  ,358529  ,455737  ,200477  ,255260  ,190249  ,86980  ,103269  
,в том числе: ,,,,,,,,,
,моложе трудоспособного,94637  ,48971  ,45666  ,67360  ,34925  ,32435  ,27277  ,14046  ,13231  
,трудоспособного,392312  ,197966  ,194346  ,285918  ,140850  ,145068  ,106394  ,57116  ,49278  
,старше трудоспособного,159037  ,40520  ,118517  ,102459  ,24702  ,77757  ,56578  ,15818  ,40760  
