,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2012 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,7060  ,3669  ,3391  ,5057  ,2612  ,2445  ,2003  ,1057  ,946  ,,,,,
,1,6840  ,3526  ,3314  ,4935  ,2532  ,2403  ,1905  ,994  ,911  ,,,,,
,2,6855  ,3600  ,3255  ,5011  ,2646  ,2365  ,1844  ,954  ,890  ,,,,,
,0-2,20755  ,10795  ,9960  ,15003  ,7790  ,7213  ,5752  ,3005  ,2747  ,,,,,
,3,6761  ,3510  ,3251  ,4895  ,2545  ,2350  ,1866  ,965  ,901  ,,,,,
,4,6724  ,3486  ,3238  ,4741  ,2493  ,2248  ,1983  ,993  ,990  ,,,,,
,0-4,34240  ,17791  ,16449  ,24639  ,12828  ,11811  ,9601  ,4963  ,4638  ,,,,,
,5,6177  ,3206  ,2971  ,4370  ,2249  ,2121  ,1807  ,957  ,850  ,,,,,
,3-5,19662  ,10202  ,9460  ,14006  ,7287  ,6719  ,5656  ,2915  ,2741  ,,,,,
,6,5982  ,3152  ,2830  ,4312  ,2275  ,2037  ,1670  ,877  ,793  ,,,,,
,1-6,39339  ,20480  ,18859  ,28264  ,14740  ,13524  ,11075  ,5740  ,5335  ,,,,,
,7,6102  ,3103  ,2999  ,4435  ,2267  ,2168  ,1667  ,836  ,831  ,,,,,
,8,6026  ,3133  ,2893  ,4339  ,2277  ,2062  ,1687  ,856  ,831  ,,,,,
,9,5872  ,3028  ,2844  ,4267  ,2225  ,2042  ,1605  ,803  ,802  ,,,,,
,5-9,30159  ,15622  ,14537  ,21723  ,11293  ,10430  ,8436  ,4329  ,4107  ,,,,,
,10,5365  ,2738  ,2627  ,3811  ,1913  ,1898  ,1554  ,825  ,729  ,,,,,
,11,5147  ,2690  ,2457  ,3636  ,1877  ,1759  ,1511  ,813  ,698  ,,,,,
,12,4987  ,2556  ,2431  ,3497  ,1798  ,1699  ,1490  ,758  ,732  ,,,,, 
,13,5518  ,2938  ,2580  ,3870  ,2078  ,1792  ,1648  ,860  ,788  ,,,,,
