,2.2.10.ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2017 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,7184  ,3733  ,3451  ,5594  ,2910  ,2684  ,1590  ,823  ,767  ,,,,,
,1,7307  ,3838  ,3469  ,5657  ,2965  ,2692  ,1650  ,873  ,777  ,,,,,
,2,7383  ,3812  ,3571  ,5238  ,2726  ,2512  ,2145  ,1086  ,1059  ,,,,,
,0-2,21874  ,11383  ,10491  ,16489  ,8601  ,7888  ,5385  ,2782  ,2603  ,,,,,
,3,7338  ,3770  ,3568  ,5177  ,2668  ,2509  ,2161  ,1102  ,1059  ,,,,,
,4,7562  ,3854  ,3708  ,5291  ,2680  ,2611  ,2271  ,1174  ,1097  ,,,,,
,0-4,36774  ,19007  ,17767  ,26957  ,13949  ,13008  ,9817  ,5058  ,4759  ,,,,,
,5,7091  ,3695  ,3396  ,5095  ,2648  ,2447  ,1996  ,1047  ,949  ,,,,,
,3-5,21991  ,11319  ,10672  ,15563  ,7996  ,7567  ,6428  ,3323  ,3105  ,,,,,
,6,6902  ,3548  ,3354  ,5047  ,2611  ,2436  ,1855  ,937  ,918  ,,,,,
,1-6,43583  ,22517  ,21066  ,31505  ,16298  ,15207  ,12078  ,6219  ,5859  ,,,,,
,7,6864  ,3599  ,3265  ,5118  ,2701  ,2417  ,1746  ,898  ,848  ,,,,,
,8,6777  ,3528  ,3249  ,4979  ,2593  ,2386  ,1798  ,935  ,863  ,,,,,
,9,6739  ,3466  ,3273  ,4837  ,2502  ,2335  ,1902  ,964  ,938  ,,,,,
,5-9,34373  ,17836  ,16537  ,25076  ,13055  ,12021  ,9297  ,4781  ,4516  ,,,,,
,10,6202  ,3212  ,2990  ,4393  ,2256  ,2137  ,1809  ,956  ,853  ,,,,,
,11,6003  ,3164  ,2839  ,4322  ,2278  ,2044  ,1681  ,886  ,795  ,,,,,
,12,6109  ,3088  ,3021  ,4431  ,2236  ,2195  ,1678  ,852  ,826  ,,,,, 
,13,6059  ,3140  ,2919  ,4336  ,2276  ,2060  ,1723  ,864  ,859  ,,,,,
,8-13,37889  ,19598  ,18291  ,27298  ,14141  ,13157  ,10591  ,5457  ,5134  ,,,,,
,0-13,95520  ,49447  ,46073  ,69515  ,36050  ,33465  ,26005  ,13397  ,12608  ,,,,,
,14,5858  ,3008  ,2850  ,4240  ,2216  ,2024  ,1618  ,792  ,826  ,,,,,
,10-14,30231  ,15612  ,14619  ,21722  ,11262  ,10460  ,8509  ,4350  ,4159  ,,,,,
,0-14,101378  ,52455  ,48923  ,73755  ,38266  ,35489  ,27623  ,14189  ,13434  ,,,,,
,15,5394  ,2754  ,2640  ,3851  ,1930  ,1921  ,1543  ,824  ,719  ,,,,,
,14-15,11252  ,5762  ,5490  ,8091  ,4146  ,3945  ,3161  ,1616  ,1545  ,,,,,
,16,5065  ,2625  ,2440  ,3781  ,1928  ,1853  ,1284  ,697  ,587  ,,,,,
,17,4886  ,2497  ,2389  ,3682  ,1902  ,1780  ,1204  ,595  ,609  ,,,,,
,16-17,9951  ,5122  ,4829  ,7463  ,3830  ,3633  ,2488  ,1292  ,1196  ,,,,,
,0-17,116723  ,60331  ,56392  ,85069  ,44026  ,41043  ,31654  ,16305  ,15349  ,,,,,
,18,5096  ,2646  ,2450  ,3877  ,2001  ,1876  ,1219  ,645  ,574  ,,,,,
,19,4672  ,2182  ,2490  ,3536  ,1600  ,1936  ,1136  ,582  ,554  ,,,,,
,15-19,25113  ,12704  ,12409  ,18727  ,9361  ,9366  ,6386  ,3343  ,3043  ,,,,,
,20,4854  ,2545  ,2309  ,3604  ,1856  ,1748  ,1250  ,689  ,561  ,,,,,
,21,5188  ,2595  ,2593  ,3787  ,1840  ,1947  ,1401  ,755  ,646  ,,,,,
,22,5593  ,2788  ,2805  ,4164  ,2039  ,2125  ,1429  ,749  ,680  ,,,,,
,23,5381  ,2685  ,2696  ,3958  ,1887  ,2071  ,1423  ,798  ,625  ,,,,,
,24,6361  ,3205  ,3156  ,4892  ,2387  ,2505  ,1469  ,818  ,651  ,,,,,
,20-24,27377  ,13818  ,13559  ,20405  ,10009  ,10396  ,6972  ,3809  ,3163  ,,,,,
,25,7243  ,3624  ,3619  ,5419  ,2626  ,2793  ,1824  ,998  ,826  ,,,,,
,26,8578  ,4452  ,4126  ,6391  ,3200  ,3191  ,2187  ,1252  ,935  ,,,,,
,27,9241  ,4714  ,4527  ,6818  ,3350  ,3468  ,2423  ,1364  ,1059  ,,,,,
,28,9771  ,5134  ,4637  ,7194  ,3676  ,3518  ,2577  ,1458  ,1119  ,,,,,
,29,10595  ,5494  ,5101  ,7861  ,3986  ,3875  ,2734  ,1508  ,1226  ,,,,,
,25-29,45428  ,23418  ,22010  ,33683  ,16838  ,16845  ,11745  ,6580  ,5165  ,,,,,
,20-29,72805  ,37236  ,35569  ,54088  ,26847  ,27241  ,18717  ,10389  ,8328  ,,,,,
,16-29,92524  ,47186  ,45338  ,68964  ,34278  ,34686  ,23560  ,12908  ,10652  ,,,,,
,30,10038  ,5227  ,4811  ,7407  ,3747  ,3660  ,2631  ,1480  ,1151  ,,,,,
,31,9591  ,4951  ,4640  ,7110  ,3579  ,3531  ,2481  ,1372  ,1109  ,,,,,
,32,9555  ,4985  ,4570  ,7133  ,3679  ,3454  ,2422  ,1306  ,1116  ,,,,,
,33,9827  ,4985  ,4842  ,7343  ,3641  ,3702  ,2484  ,1344  ,1140  ,,,,,
,34,9711  ,4944  ,4767  ,7298  ,3650  ,3648  ,2413  ,1294  ,1119  ,,,,,
,30-34,48722  ,25092  ,23630  ,36291  ,18296  ,17995  ,12431  ,6796  ,5635  ,,,,,
,15-34,146640  ,75032  ,71608  ,109106  ,54504  ,54602  ,37534  ,20528  ,17006  ,,,,,
,35,8741  ,4409  ,4332  ,6569  ,3305  ,3264  ,2172  ,1104  ,1068  ,,,,,
,36,9277  ,4612  ,4665  ,6958  ,3445  ,3513  ,2319  ,1167  ,1152  ,,,,,
