,2.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января   2018 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,6219,3205,3014,4824,2498,2326,1395,707,688,,,,,
,1,7169,3729,3440,5635,2931,2704,1534,798,736,,,,,
,2,7260,3829,3431,5658,2978,2680,1602,851,751,,,,,
,0-2,20648,10763,9885,16117,8407,7710,4531,2356,2175,,,,,
,3,7368,3795,3573,5252,2737,2515,2116,1058,1058,,,,,
,4,7310,3758,3552,5185,2669,2516,2125,1089,1036,,,,,
,0-4,35326,18316,17010,26554,13813,12741,8772,4503,4269,,,,,
,5,7524,3837,3687,5314,2696,2618,2210,1141,1069,,,,,
,3-5,22202,11390,10812,15751,8102,7649,6451,3288,3163,,,,,
,6,7049,3665,3384,5116,2654,2462,1933,1011,922,,,,,
,1-6,43680,22613,21067,32160,16665,15495,11520,5948,5572,,,,,
,7,6865,3530,3335,5054,2618,2436,1811,912,899,,,,,
,8,6822,3590,3232,5068,2686,2382,1754,904,850,,,,,
,9,6774,3524,3250,4977,2602,2375,1797,922,875,,,,,
,5-9,35034,18146,16888,25529,13256,12273,9505,4890,4615,,,,,
,10,6706,3448,3258,4813,2483,2330,1893,965,928,,,,,
,11,6175,3192,2983,4382,2250,2132,1793,942,851,,,,,
,12,5979,3153,2826,4297,2271,2026,1682,882,800,,,,, 
,13,6112,3093,3019,4438,2246,2192,1674,847,827,,,,,
,8-13,38568,20000,18568,27975,14538,13437,10593,5462,5131,,,,,
,0-13,95332,49348,45984,70013,36319,33694,25319,13029,12290,,,,,
,14,6047,3137,2910,4339,2278,2061,1708,859,849,,,,,
,10-14,31019,16023,14996,22269,11528,10741,8750,4495,4255,,,,,
,0-14,101379,52485,48894,74352,38597,35755,27027,13888,13139,,,,,
,15,5862,2999,2863,4253,2213,2040,1609,786,823,,,,,
,14-15,11909,6136,5773,8592,4491,4101,3317,1645,1672,,,,,
,16,5342,2715,2627,3968,1992,1976,1374,723,651,,,,,
,17,5034,2591,2443,3837,1938,1899,1197,653,544,,,,,
,16-17,10376,5306,5070,7805,3930,3875,2571,1376,1195,,,,,
,0-17,117617,60790,56827,86410,44740,41670,31207,16050,15157,,,,,
,18,4541,2249,2292,3443,1712,1731,1098,537,561,,,,,
,19,4994,2598,2396,3690,1892,1798,1304,706,598,,,,,
,15-19,25773,13152,12621,19191,9747,9444,6582,3405,3177,,,,,
,20,4604,2175,2429,3403,1564,1839,1201,611,590,,,,,
,21,4810,2526,2284,3520,1836,1684,1290,690,600,,,,,
,22,5191,2597,2594,3741,1807,1934,1450,790,660,,,,,
,23,5581,2821,2760,4151,2057,2094,1430,764,666,,,,,
,24,5381,2707,2674,3975,1909,2066,1406,798,608,,,,,
,20-24,25567,12826,12741,18790,9173,9617,6777,3653,3124,,,,,
,25,6381,3259,3122,4963,2463,2500,1418,796,622,,,,,
,26,7202,3590,3612,5398,2600,2798,1804,990,814,,,,,
,27,8446,4407,4039,6304,3155,3149,2142,1252,890,,,,,
,28,9113,4692,4421,6729,3335,3394,2384,1357,1027,,,,,
,29,9632,5067,4565,7142,3653,3489,2490,1414,1076,,,,,
,25-29,40774,21015,19759,30536,15206,15330,10238,5809,4429,,,,,
,20-29,66341,33841,32500,49326,24379,24947,17015,9462,7553,,,,,
,16-29,86252,43994,42258,64264,31913,32351,21988,12081,9907,,,,,
,30,10440,5421,5019,7787,3949,3838,2653,1472,1181,,,,,
,31,9922,5173,4749,7337,3701,3636,2585,1472,1113,,,,,
,32,9482,4906,4576,7034,3528,3506,2448,1378,1070,,,,,
,33,9452,4923,4529,7087,3643,3444,2365,1280,1085,,,,,
,34,9720,4928,4792,7283,3612,3671,2437,1316,1121,,,,,
,30-34,49016,25351,23665,36528,18433,18095,12488,6918,5570,,,,,
,15-34,141130,72344,68786,105045,52559,52486,36085,19785,16300,,,,,
,35,9603,4879,4724,7243,3618,3625,2360,1261,1099,,,,,
,36,8628,4361,4267,6507,3268,3239,2121,1093,1028,,,,,
,37,9180,4545,4635,6909,3410,3499,2271,1135,1136,,,,,
,38,8620,4298,4322,6559,3249,3310,2061,1049,1012,,,,,
,39,8631,4161,4470,6362,3015,3347,2269,1146,1123,,,,,
,35-39,44662,22244,22418,33580,16560,17020,11082,5684,5398,,,,,
,20-39,160019,81436,78583,119434,59372,60062,40585,22064,18521,,,,,
,40,8301,4036,4265,6223,2943,3280,2078,1093,985,,,,,
,41,8579,4219,4360,6418,3111,3307,2161,1108,1053,,,,,
,42,8540,4132,4408,6360,3067,3293,2180,1065,1115,,,,,
,43,8216,3978,4238,6132,2881,3251,2084,1097,987,,,,,
,44,7771,3738,4033,5745,2713,3032,2026,1025,1001,,,,,
,40-44,41407,20103,21304,30878,14715,16163,10529,5388,5141,,,,,
,45,7938,3856,4082,5824,2761,3063,2114,1095,1019,,,,,
,46,7721,3693,4028,5705,2677,3028,2016,1016,1000,,,,,
,47,7748,3606,4142,5677,2613,3064,2071,993,1078,,,,,
,48,7017,3209,3808,4946,2197,2749,2071,1012,1059,,,,,
,49,6971,3208,3763,4907,2234,2673,2064,974,1090,,,,,
,45-49,37395,17572,19823,27059,12482,14577,10336,5090,5246,,,,,
,15-49,264594,132263,132331,196562,96316,100246,68032,35947,32085,,,,,
,50,7258,3264,3994,5144,2264,2880,2114,1000,1114,,,,,
,51,7607,3413,4194,5262,2327,2935,2345,1086,1259,,,,,
,52,7981,3468,4513,5469,2277,3192,2512,1191,1321,,,,,
,53,8092,3653,4439,5458,2364,3094,2634,1289,1345,,,,,
,54,8466,3722,4744,5734,2443,3291,2732,1279,1453,,,,,
,50-54,39404,17520,21884,27067,11675,15392,12337,5845,6492,,,,,
,55,9283,3958,5325,6234,2566,3668,3049,1392,1657,,,,,
,56,9835,4316,5519,6590,2717,3873,3245,1599,1646,,,,,
,57,10086,4397,5689,6762,2803,3959,3324,1594,1730,,,,,
,58,9872,4212,5660,6600,2627,3973,3272,1585,1687,,,,,
,59,10267,4365,5902,6902,2725,4177,3365,1640,1725,,,,,
,55-59,49343,21248,28095,33088,13438,19650,16255,7810,8445,,,,,
,60,9964,4082,5882,6717,2570,4147,3247,1512,1735,,,,,
,61,9705,3912,5793,6641,2568,4073,3064,1344,1720,,,,,
,62,9446,3752,5694,6457,2413,4044,2989,1339,1650,,,,,
,63,9358,3587,5771,6408,2398,4010,2950,1189,1761,,,,,
,64,8509,3261,5248,5934,2137,3797,2575,1124,1451,,,,,
,60-64,46982,18594,28388,32157,12086,20071,14825,6508,8317,,,,,
,65,8237,3146,5091,5588,2004,3584,2649,1142,1507,,,,,
,66,8040,2966,5074,5477,1905,3572,2563,1061,1502,,,,,
,67,7901,2925,4976,5365,1875,3490,2536,1050,1486,,,,,
,68,8110,2898,5212,5484,1814,3670,2626,1084,1542,,,,,
,69,6223,2149,4074,4274,1367,2907,1949,782,1167,,,,,
,65-69,38511,14084,24427,26188,8965,17223,12323,5119,7204,,,,,
,70,5959,2088,3871,4093,1329,2764,1866,759,1107,,,,,
,71,5122,1663,3459,3468,1004,2464,1654,659,995,,,,,
,72,3137,1099,2038,2086,702,1384,1051,397,654,,,,,
,73,2365,733,1632,1562,441,1121,803,292,511,,,,,
,74,1833,581,1252,1230,357,873,603,224,379,,,,,
,70-74,18416,6164,12252,12439,3833,8606,5977,2331,3646,,,,,
,75,2636,765,1871,1708,453,1255,928,312,616,,,,,
,76,5194,1448,3746,3304,841,2463,1890,607,1283,,,,,
,77,4218,1179,3039,2636,652,1984,1582,527,1055,,,,,
,78,5021,1311,3710,3128,733,2395,1893,578,1315,,,,,
,79,4739,1117,3622,2954,624,2330,1785,493,1292,,,,,
,75-79,21808,5820,15988,13730,3303,10427,8078,2517,5561,,,,,
,80 лет и более,26039,5407,20632,14903,2811,12092,11136,2596,8540,,,,,
,85 лет и более,11270,2046,9224,6262,1041,5221,5008,1005,4003,,,,,
,,,,,,,,,,,,,,,
,Все население,606476,273585,332891,430486,191024,239462,175990,82561,93429,,,,,
,в  том числе:,,,,,,,,,,,,,,
,моложе трудоспособного,107241,55484,51757,78605,40810,37795,28636,14674,13962,,,,,
,  трудоспособный,319384,168032,151352,232814,119216,113598,86570,48816,37754,,,,,
,  старше трудоспособного,179851,50069,129782,119067,30998,88069,60784,19071,41713,,,,,
