,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2013 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,7528  ,3840  ,3688  ,5288  ,2678  ,2610  ,2240  ,1162  ,1078  ,,,,,
,1,7060  ,3666  ,3394  ,5046  ,2617  ,2429  ,2014  ,1049  ,965  ,,,,,
,2,6867  ,3552  ,3315  ,4984  ,2570  ,2414  ,1883  ,982  ,901  ,,,,,
,0-2,21455  ,11058  ,10397  ,15318  ,7865  ,7453  ,6137  ,3193  ,2944  ,,,,,
,3,6862  ,3598  ,3264  ,5004  ,2638  ,2366  ,1858  ,960  ,898  ,,,,,
,4,6768  ,3513  ,3255  ,4884  ,2536  ,2348  ,1884  ,977  ,907  ,,,,,
,0-4,35085  ,18169  ,16916  ,25206  ,13039  ,12167  ,9879  ,5130  ,4749  ,,,,,
,5,6737  ,3495  ,3242  ,4773  ,2522  ,2251  ,1964  ,973  ,991  ,,,,,
,3-5,20367  ,10606  ,9761  ,14661  ,7696  ,6965  ,5706  ,2910  ,2796  ,,,,,
,6,6189  ,3212  ,2977  ,4380  ,2260  ,2120  ,1809  ,952  ,857  ,,,,,
,1-6,40483  ,21036  ,19447  ,29071  ,15143  ,13928  ,11412  ,5893  ,5519  ,,,,,
,7,5990  ,3158  ,2832  ,4335  ,2283  ,2052  ,1655  ,875  ,780  ,,,,,
,8,6080  ,3087  ,2993  ,4412  ,2249  ,2163  ,1668  ,838  ,830  ,,,,,
,9,6033  ,3134  ,2899  ,4334  ,2271  ,2063  ,1699  ,863  ,836  ,,,,,
,5-9,31029  ,16086  ,14943  ,22234  ,11585  ,10649  ,8795  ,4501  ,4294  ,,,,,
,10,5869  ,3023  ,2846  ,4258  ,2223  ,2035  ,1611  ,800  ,811  ,,,,,
,11,5364  ,2739  ,2625  ,3798  ,1914  ,1884  ,1566  ,825  ,741  ,,,,,
,12,5146  ,2695  ,2451  ,3619  ,1872  ,1747  ,1527  ,823  ,704  ,,,,, 
