,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2010г.,,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2009,1750177 ,898734 ,851443 ,1226902 ,630149 ,596753 ,523275 ,268585 ,254690 
,1,2008,1700380 ,872672 ,827708 ,1182871 ,607326 ,575545 ,517509 ,265346 ,252163 
,2,2007,1595866 ,820358 ,775508 ,1111645 ,571739 ,539906 ,484221 ,248619 ,235602 
,3,2006,1466280 ,752817 ,713463 ,1036704 ,532700 ,504004 ,429576 ,220117 ,209459 
,4,2005,1443000 ,740735 ,702265 ,1026914 ,527287 ,499627 ,416086 ,213448 ,202638 
,0-4,,7955703 ,4085316 ,3870387 ,5585036 ,2869201 ,2715835 ,2370667 ,1216115 ,1154552 
,5,2004,1486714 ,763286 ,723428 ,1056042 ,542746 ,513296 ,430672 ,220540 ,210132 
,6,2003,1460823 ,750760 ,710063 ,1032498 ,531242 ,501256 ,428325 ,219518 ,208807 
,7,2002,1375764 ,704170 ,671594 ,964528 ,494477 ,470051 ,411236 ,209693 ,201543 
,8,2001,1282864 ,656200 ,626664 ,888634 ,454442 ,434192 ,394230 ,201758 ,192472 
,9,2000,1274698 ,652396 ,622302 ,869919 ,445721 ,424198 ,404779 ,206675 ,198104 
,5-9,,6880863 ,3526812 ,3354051 ,4811621 ,2468628 ,2342993 ,2069242 ,1058184 ,1011058 
,10,1999,1253949 ,642218 ,611731 ,849805 ,435747 ,414058 ,404144 ,206471 ,197673 
,11,1998,1305584 ,667755 ,637829 ,881220 ,450840 ,430380 ,424364 ,216915 ,207449 
,12,1997,1277558 ,652916 ,624642 ,860950 ,440467 ,420483 ,416608 ,212449 ,204159 
,13,1996,1330370 ,680493 ,649877 ,894454 ,458186 ,436268 ,435916 ,222307 ,213609 
,14,1995,1396585 ,712607 ,683978 ,940452 ,479946 ,460506 ,456133 ,232661 ,223472 
,10-14,,6564046 ,3355989 ,3208057 ,4426881 ,2265186 ,2161695 ,2137165 ,1090803 ,1046362 
,15,1994,1453782 ,743018 ,710764 ,977169 ,499450 ,477719 ,476613 ,243568 ,233045 
,16,1993,1450254 ,740593 ,709661 ,974008 ,497190 ,476818 ,476246 ,243403 ,232843 
,17,1992,1675927 ,855967 ,819960 ,1137981 ,578851 ,559130 ,537946 ,277116 ,260830 
,18,1991,1840892 ,940594 ,900298 ,1269089 ,644014 ,625075 ,571803 ,296580 ,275223 
,19,1990,2074807 ,1057868 ,1016939 ,1446212 ,729720 ,716492 ,628595 ,328148 ,300447 
,15-19,,8495662 ,4338040 ,4157622 ,5804459 ,2949225 ,2855234 ,2691203 ,1388815 ,1302388 
,20,1989,2226271 ,1134280 ,1091991 ,1561669 ,788251 ,773418 ,664602 ,346029 ,318573 
,21,1988,2402017 ,1219311 ,1182706 ,1694801 ,852095 ,842706 ,707216 ,367216 ,340000 
,22,1987,2560981 ,1299322 ,1261659 ,1831806 ,919121 ,912685 ,729175 ,380201 ,348974 
,23,1986,2578106 ,1304695 ,1273411 ,1859764 ,926463 ,933301 ,718342 ,378232 ,340110 
,24,1985,2488768 ,1254476 ,1234292 ,1903895 ,937460 ,966435 ,584873 ,317016 ,267857 
,20-24,,12256143 ,6212084 ,6044059 ,8851935 ,4423390 ,4428545 ,3404208 ,1788694 ,1615514 
,25,1984,2557167 ,1287596 ,1269571 ,2007569 ,992824 ,1014745 ,549598 ,294772 ,254826 
,26,1983,2603506 ,1315196 ,1288310 ,2062311 ,1040479 ,1021832 ,541195 ,274717 ,266478 
,27,1982,2472460 ,1244853 ,1227607 ,1936633 ,971068 ,965565 ,535827 ,273785 ,262042 
,28,1981,2298037 ,1150360 ,1147677 ,1781449 ,882543 ,898906 ,516588 ,267817 ,248771 
,29,1980,2326179 ,1160590 ,1165589 ,1799754 ,888671 ,911083 ,526425 ,271919 ,254506 
,25-29,,12257349 ,6158595 ,6098754 ,9587716 ,4775585 ,4812131 ,2669633 ,1383010 ,1286623 
,30,1979,2198438 ,1095382 ,1103056 ,1689342 ,832024 ,857318 ,509096 ,263358 ,245738 
,31,1978,2184644 ,1080983 ,1103661 ,1679387 ,821239 ,858148 ,505257 ,259744 ,245513 
,32,1977,2152672 ,1062270 ,1090402 ,1654761 ,807884 ,846877 ,497911 ,254386 ,243525 
,33,1976,2149467 ,1060835 ,1088632 ,1647922 ,806472 ,841450 ,501545 ,254363 ,247182 
,34,1975,2113770 ,1041837 ,1071933 ,1617776 ,790888 ,826888 ,495994 ,250949 ,245045 
,30-34,,10798991 ,5341307 ,5457684 ,8289188 ,4058507 ,4230681 ,2509803 ,1282800 ,1227003 
,35,1974,2066804 ,1016002 ,1050802 ,1574439 ,768378 ,806061 ,492365 ,247624 ,244741 
,36,1973,1980924 ,973473 ,1007451 ,1508100 ,736485 ,771615 ,472824 ,236988 ,235836 
,37,1972,2079277 ,1022381 ,1056896 ,1586137 ,775192 ,810945 ,493140 ,247189 ,245951 
,38,1971,1961464 ,964139 ,997325 ,1483223 ,724608 ,758615 ,478241 ,239531 ,238710 
,39,1970,1980423 ,975684 ,1004739 ,1498461 ,734045 ,764416 ,481962 ,241639 ,240323 
,35-39,,10068892 ,4951679 ,5117213 ,7650360 ,3738708 ,3911652 ,2418532 ,1212971 ,1205561 
,40,1969,1827081 ,891548 ,935533 ,1358930 ,657222 ,701708 ,468151 ,234326 ,233825 
,41,1968,1799782 ,875351 ,924431 ,1322509 ,636282 ,686227 ,477273 ,239069 ,238204 
,42,1967,1801359 ,870529 ,930830 ,1318592 ,629356 ,689236 ,482767 ,241173 ,241594 
,43,1966,1863544 ,894706 ,968838 ,1353917 ,640397 ,713520 ,509627 ,254309 ,255318 
,44,1965,1901550 ,912031 ,989519 ,1382865 ,652677 ,730188 ,518685 ,259354 ,259331 
,40-44,,9193316 ,4444165 ,4749151 ,6736813 ,3215934 ,3520879 ,2456503 ,1228231 ,1228272 
,45,1964,1992275 ,946984 ,1045291 ,1449982 ,676876 ,773106 ,542293 ,270108 ,272185 
,46,1963,2144164 ,1019312 ,1124852 ,1558562 ,726721 ,831841 ,585602 ,292591 ,293011 
,47,1962,2291920 ,1079461 ,1212459 ,1678069 ,772982 ,905087 ,613851 ,306479 ,307372 
,48,1961,2340078 ,1098178 ,1241900 ,1703380 ,780334 ,923046 ,636698 ,317844 ,318854 
,49,1960,2478823 ,1164799 ,1314024 ,1810463 ,830567 ,979896 ,668360 ,334232 ,334128 
,45-49,,11247260 ,5308734 ,5938526 ,8200456 ,3787480 ,4412976 ,3046804 ,1521254 ,1525550 
,50,1959,2340090 ,1079918 ,1260172 ,1701715 ,763245 ,938470 ,638375 ,316673 ,321702 
,51,1958,2308964 ,1057799 ,1251165 ,1686338 ,750618 ,935720 ,622626 ,307181 ,315445 
,52,1957,2284549 ,1043099 ,1241450 ,1674789 ,742937 ,931852 ,609760 ,300162 ,309598 
,53,1956,2186651 ,986431 ,1200220 ,1608936 ,705267 ,903669 ,577715 ,281164 ,296551 
,54,1955,2140479 ,954004 ,1186475 ,1584076 ,685889 ,898187 ,556403 ,268115 ,288288 
,50-54,,11260733 ,5121251 ,6139482 ,8255854 ,3647956 ,4607898 ,3004879 ,1473295 ,1531584 
,55,1954,2150692 ,947830 ,1202862 ,1598020 ,684884 ,913136 ,552672 ,262946 ,289726 
,56,1953,1921455 ,840685 ,1080770 ,1435021 ,610961 ,824060 ,486434 ,229724 ,256710 
,57,1952,1994824 ,866620 ,1128204 ,1499059 ,634302 ,864757 ,495765 ,232318 ,263447 
,58,1951,1857428 ,796781 ,1060647 ,1397137 ,583919 ,813218 ,460291 ,212862 ,247429 
,59,1950,1823561 ,783179 ,1040382 ,1382694 ,580590 ,802104 ,440867 ,202589 ,238278 
,55-59,,9747960 ,4235095 ,5512865 ,7311931 ,3094656 ,4217275 ,2436029 ,1140439 ,1295590 
,60,1949,1843715 ,774744 ,1068971 ,1396436 ,572020 ,824416 ,447279 ,202724 ,244555 
,61,1948,1503242 ,625496 ,877746 ,1149654 ,467632 ,682022 ,353588 ,157864 ,195724 
,62,1947,1469784 ,602387 ,867397 ,1134853 ,457025 ,677828 ,334931 ,145362 ,189569 
,63,1946,1301140 ,522357 ,778783 ,1006821 ,398460 ,608361 ,294319 ,123897 ,170422 
,64,1945,779044 ,308917 ,470127 ,614385 ,241578 ,372807 ,164659 ,67339 ,97320 
,60-64,,6896925 ,2833901 ,4063024 ,5302149 ,2136715 ,3165434 ,1594776 ,697186 ,897590 
,65,1944,588256 ,228327 ,359929 ,455282 ,175568 ,279714 ,132974 ,52759 ,80215 
,66,1943,530105 ,201388 ,328717 ,392027 ,148097 ,243930 ,138078 ,53291 ,84787 
,67,1942,822838 ,303466 ,519372 ,597482 ,218451 ,379031 ,225356 ,85015 ,140341 
,68,1941,1232064 ,443873 ,788191 ,890020 ,317722 ,572298 ,342044 ,126151 ,215893 
,69,1940,1306313 ,467119 ,839194 ,934994 ,332141 ,602853 ,371319 ,134978 ,236341 
,65-69,,4479576 ,1644173 ,2835403 ,3269805 ,1191979 ,2077826 ,1209771 ,452194 ,757577 
,70,1939,1413505 ,489267 ,924238 ,1006125 ,343331 ,662794 ,407380 ,145936 ,261444 
,71,1938,1391796 ,469686 ,922110 ,990748 ,328962 ,661786 ,401048 ,140724 ,260324 
,72,1937,1363878 ,460337 ,903541 ,986406 ,327175 ,659231 ,377472 ,133162 ,244310 
,73,1936,1084171 ,358055 ,726116 ,749703 ,242511 ,507192 ,334468 ,115544 ,218924 
,74,1935,915947 ,297890 ,618057 ,631340 ,200392 ,430948 ,284607 ,97498 ,187109 
,70-74,,6169297 ,2075235 ,4094062 ,4364322 ,1442371 ,2921951 ,1804975 ,632864 ,1172111 
,75,1934,703721 ,221850 ,481871 ,485322 ,148829 ,336493 ,218399 ,73021 ,145378 
,76,1933,644809 ,196177 ,448632 ,439616 ,129911 ,309705 ,205193 ,66266 ,138927 
,77,1932,778602 ,231513 ,547089 ,529050 ,153402 ,375648 ,249552 ,78111 ,171441 
,78,1931,706175 ,205984 ,500191 ,481718 ,136391 ,345327 ,224457 ,69593 ,154864 
,79,1930,783271 ,224925 ,558346 ,525621 ,147678 ,377943 ,257650 ,77247 ,180403 
,75-79,,3616578 ,1080449 ,2536129 ,2461327 ,716211 ,1745116 ,1155251 ,364238 ,791013 
,80,1929,675618 ,181485 ,494133 ,457993 ,120371 ,337622 ,217625 ,61114 ,156511 
,81,1928,661066 ,169261 ,491805 ,445911 ,112982 ,332929 ,215155 ,56279 ,158876 
,82,1927,561014 ,142290 ,418724 ,390264 ,100719 ,289545 ,170750 ,41571 ,129179 
,83,1926,483361 ,113487 ,369874 ,337497 ,81864 ,255633 ,145864 ,31623 ,114241 
,84,1925,382323 ,80449 ,301874 ,269622 ,58533 ,211089 ,112701 ,21916 ,90785 
,80-84,,2763382 ,686972 ,2076410 ,1901287 ,474469 ,1426818 ,862095 ,212503 ,649592 
,85,1924,315197 ,61189 ,254008 ,220106 ,43358 ,176748 ,95091 ,17831 ,77260 
,86,1923,238138 ,43925 ,194213 ,169555 ,32127 ,137428 ,68583 ,11798 ,56785 
,87,1922,176371 ,32521 ,143850 ,125557 ,24132 ,101425 ,50814 ,8389 ,42425 
,88,1921,124417 ,23596 ,100821 ,90321 ,17665 ,72656 ,34096 ,5931 ,28165 
,89,1920,100836 ,20535 ,80301 ,71721 ,15486 ,56235 ,29115 ,5049 ,24066 
,85-89,,954959 ,181766 ,773193 ,677260 ,132768 ,544492 ,277699 ,48998 ,228701 
,90,1919,68088 ,13202 ,54886 ,48776 ,9987 ,38789 ,19312 ,3215 ,16097 
,91,1918,66648 ,12188 ,54460 ,45957 ,9089 ,36868 ,20691 ,3099 ,17592 
,92,1917,36891 ,6768 ,30123 ,26566 ,5230 ,21336 ,10325 ,1538 ,8787 
,93,1916,28713 ,5061 ,23652 ,20361 ,3940 ,16421 ,8352 ,1121 ,7231 
,94,1915,24055 ,4540 ,19515 ,17206 ,3601 ,13605 ,6849 ,939 ,5910 
,90-94,,224395 ,41759 ,182636 ,158866 ,31847 ,127019 ,65529 ,9912 ,55617 
,95,1914,21839 ,3781 ,18058 ,15031 ,2936 ,12095 ,6808 ,845 ,5963 
,96,1913,12476 ,2877 ,9599 ,9382 ,2301 ,7081 ,3094 ,576 ,2518 
,97,1912,12441 ,2528 ,9913 ,8868 ,2066 ,6802 ,3573 ,462 ,3111 
,98,1911,6121 ,1449 ,4672 ,4777 ,1112 ,3665 ,1344 ,337 ,1007 
,99,1910,6723 ,1438 ,5285 ,4728 ,1134 ,3594 ,1995 ,304 ,1691 
,95-99,,59600 ,12073 ,47527 ,42786 ,9549 ,33237 ,16814 ,2524 ,14290 
,100 лет и старше,1909,22879 ,3985 ,18894 ,15262 ,3108 ,12154 ,7617 ,877 ,6740 
